Country,PM2_5,Attr_Mort,Total_Mort,Percent_Attr,Original Region,Region
Taiwan,23.9,13916,183000,7.604371585,East_Asia,East Asia
Japan,13.5,42858,1361000,3.149008082,High_income_Asia_Pacific,East Asia
South Korea,26.6,23414,316000,7.409493671,High_income_Asia_Pacific,East Asia
Belarus,16.3,8560,118000,7.254237288,Eastern_Europe,Eastern Europe
Estonia,5.7,98,16000,0.6125,Eastern_Europe,Eastern Europe
Latvia,11.7,1023,28000,3.653571429,Eastern_Europe,Eastern Europe
Lithuania,10.2,1168,38000,3.073684211,Eastern_Europe,Eastern Europe
Moldova,13.1,2024,47000,4.306382979,Eastern_Europe,Eastern Europe
Russia,10.9,64298,1858000,3.460602799,Eastern_Europe,Eastern Europe
Ukraine,14,40682,667000,6.099250375,Eastern_Europe,Eastern Europe
Bahrain,60.8,776,4000,19.4,Middle_East,Middle East
Iran,38.3,48441,401000,12.08004988,Middle_East,Middle East
Iraq,48.6,27431,186000,14.74784946,Middle_East,Middle East
Jordan,32.1,3077,39000,7.88974359,Middle_East,Middle East
Kuwait,63.1,1754,12000,14.61666667,Middle_East,Middle East
Lebanon,28.5,3693,30000,12.31,Middle_East,Middle East
Palestine,32.6,1992,17000,11.71764706,Middle_East,Middle East
Qatar,71.6,625,4000,15.625,Middle_East,Middle East
Saudi Arabia,61.5,20827,120000,17.35583333,Middle_East,Middle East
Syria,31.1,11249,92000,12.22717391,Middle_East,Middle East
Turkey,26.1,47245,451000,10.47560976,Middle_East,Middle East
United Arab Emirates,42.7,3331,15000,22.20666667,Middle_East,Middle East
Yemen,44.1,17827,175000,10.18685714,Middle_East,Middle East
Israel,19.7,2436,45000,5.413333333,Middle_East,Middle East
Afghanistan,50.8,29383,239000,12.29414226,North_Africa_and_Middle_East,Middle East
Algeria,31.6,22018,203000,10.84630542,North_Africa,North Africa
Egypt,65.8,110679,580000,19.08258621,North_Africa,North Africa
Libya,36.2,3535,35000,10.1,North_Africa,North Africa
Morocco,34,30306,184000,16.47065217,North_Africa,North Africa
Oman,42.6,1951,12000,16.25833333,North_Africa,North Africa
Sudan,50,25334,305000,8.306229508,North_Africa,North Africa
Tunisia,29.3,7808,73000,10.69589041,North_Africa,North Africa
Canada,7.3,3632,291000,1.248109966,High_income_North_America,North America
USA,7.8,46035,2909000,1.582502578,High_income_North_America,North America
Fiji,9.8,311,7000,4.442857143,Melanesia,Oceania
Papua New Guinea,13.3,2977,65000,4.58,Melanesia,Oceania
Solomon Islands,10.7,260,3000,8.666666667,Melanesia,Oceania
Vanuatu,11.1,90,2000,4.5,Melanesia,Oceania
Guam,7.6,22,1000,2.2,Micronesia,Oceania
Kiribati,7.6,23,1000,2.3,Micronesia,Oceania
Australia,7,1757,167000,1.052095808,Oceania,Oceania
New Zealand,6.6,333,34000,0.9794117647,Oceania,Oceania
Samoa,9.6,46,1000,4.6,Oceania,Oceania
American Samoa,6.1,5,1000,0.5,Polynesia,Oceania
Tonga,9.6,21,1000,2.1,Polynesia,Oceania
Bolivia,26,5522,78000,7.079487179,Andean_Latin_America,South America
Ecuador,18.8,4518,89000,5.076404494,Andean_Latin_America,South America
Peru,29.6,11927,181000,6.589502762,Andean_Latin_America,South America
Colombia,21.3,14390,281000,5.120996441,Southern_Latin_America,South America
Venezuela,20.3,11322,209000,5.41722488,Southern_Latin_America,South America
Argentina,13,13619,340000,4.005588235,Southern_Latin_America,South America
Chile,21.9,6199,117000,5.298290598,Southern_Latin_America,South America
Uruguay,9.8,763,33000,2.312121212,Southern_Latin_America,South America
Brazil,11.8,44559,1377000,3.235947712,Tropical_Latin_America,South America
Paraguay,12.5,1192,39000,3.056410256,Tropical_Latin_America,South America
Bangladesh,61.9,158987,901000,17.64561598,South_Asia,South Asia
Bhutan,38.8,524,5000,10.48,South_Asia,South Asia
India,80.2,1752666,9926000,17.6573242,South_Asia,South Asia
Nepal,79.3,39195,182000,21.53571429,South_Asia,South Asia
Pakistan,59.7,195510,1493000,13.09511052,South_Asia,South Asia
Maldives,9.9,37,1000,3.7,Southeast_Asia,South Asia
Mauritius,14.7,595,11000,5.409090909,Southeast_Asia,South Asia
Seychelles,15.4,37,1000,3.7,Southeast_Asia,South Asia
Sri Lanka,19.6,9675,144000,6.71875,Southeast_Asia,South Asia
Brunei,7.6,33,2000,1.65,High_income_Asia_Pacific,Southeast Asia
Singapore,18.5,1469,27000,5.440740741,High_income_Asia_Pacific,Southeast Asia
Cambodia,21.2,7983,99000,8.063636364,Southeast_Asia,Southeast Asia
Indonesia,18,119054,1761000,6.760590574,Southeast_Asia,Southeast Asia
Laos,18.5,2831,46000,6.154347826,Southeast_Asia,Southeast Asia
Malaysia,16.2,10569,165000,6.405454545,Southeast_Asia,Southeast Asia
Myanmar,28.5,46930,445000,10.54606742,Southeast_Asia,Southeast Asia
