Country,PM2_5,Attr_Mort,Region
Sri_Lanka,19.6,9675,Southeast_Asia
Seychelles,15.4,37,Southeast_Asia
Thailand,26.4,38193,Southeast_Asia
Timor_Leste,15.3,386,Southeast_Asia
Vietnam,20,46955,Southeast_Asia
Angola,27,8764,Central_Sub_Saharan_Africa
Central_African_Republic,41.3,4423,Central_Sub_Saharan_Africa
Congo,35.2,2589,Central_Sub_Saharan_Africa
Democratic_Republic_of_the_Congo,33,36180,Central_Sub_Saharan_Africa
Equatorial_Guinea,41.3,439,Central_Sub_Saharan_Africa
Gabon,33.3,927,Central_Sub_Saharan_Africa
Burundi,31.5,4539,Eastern_Sub_Saharan_Africa
Comoros,16.1,205,Eastern_Sub_Saharan_Africa
Djibouti,41.1,592,Eastern_Sub_Saharan_Africa
Eritrea,41.6,3668,Eastern_Sub_Saharan_Africa
Ethiopia,32.6,33633,Eastern_Sub_Saharan_Africa
Kenya,24.4,12872,Eastern_Sub_Saharan_Africa
Madagascar,17.5,6616,Eastern_Sub_Saharan_Africa
Malawi,23.1,4842,Eastern_Sub_Saharan_Africa
Mozambique,21.4,8492,Eastern_Sub_Saharan_Africa
Rwanda,33.8,4827,Eastern_Sub_Saharan_Africa
Somalia,28.8,9549,Eastern_Sub_Saharan_Africa
South_Sudan,36.4,4609,Eastern_Sub_Saharan_Africa
Tanzania,24.6,18021,Eastern_Sub_Saharan_Africa
Uganda,36.7,13648,Eastern_Sub_Saharan_Africa
Zambia,24.9,5427,Eastern_Sub_Saharan_Africa
Botswana,24.3,1213,Southern_Sub_Saharan_Africa
Lesotho,29.4,1800,Southern_Sub_Saharan_Africa
Namibia,24.4,1128,Southern_Sub_Saharan_Africa
South_Africa,28.8,34898,Southern_Sub_Saharan_Africa
Swaziland,23.1,561,Southern_Sub_Saharan_Africa
Zimbabwe,21.7,5900,Southern_Sub_Saharan_Africa
Benin,42.6,7039,Western_Sub_Saharan_Africa
Burkina_Faso,50.4,16949,Western_Sub_Saharan_Africa
Cameroon,58.9,19088,Western_Sub_Saharan_Africa
Cape_Verde,46.4,393,Western_Sub_Saharan_Africa
Chad,55.3,13333,Western_Sub_Saharan_Africa
Cote_dIvoire,52.1,16003,Western_Sub_Saharan_Africa
The_Gambia,58.6,1538,Western_Sub_Saharan_Africa
Ghana,54,22565,Western_Sub_Saharan_Africa
Guinea,50.4,11118,Western_Sub_Saharan_Africa
Guinea_Bissau,54.6,1400,Western_Sub_Saharan_Africa
Liberia,46.5,2170,Western_Sub_Saharan_Africa
Mali,56.5,14124,Western_Sub_Saharan_Africa
Mauritania,64.3,2501,Western_Sub_Saharan_Africa
Niger,70.9,19482,Western_Sub_Saharan_Africa
Nigeria,64.2,152639,Western_Sub_Saharan_Africa
Sao_Tome_and_Principe,29.5,98,Western_Sub_Saharan_Africa
Senegal,60.5,9924,Western_Sub_Saharan_Africa
Sierra_Leone,48.2,6034,Western_Sub_Saharan_Africa
Togo,44.4,4440,Western_Sub_Saharan_Africa
Global,41.7,6222380,
