Categories,Stationary Fuel Combustion,Industrial and Other Processes,Highway Vehicles,Non-Road Mobile
CO,8.52773348997231,27.874045481245275,35.75774104220861,27.8404799865738
NH3,3.1886625332152345,93.88839681133746,2.8343666961913194,0.08857395925597873
NOx,27.40987460815047,14.273119122257055,32.32758620689655,25.989420062695924
Direct PM2.5,46.0923076923077,37.107692307692304,6.153846153846154,10.646153846153844
Direct PM10,35.975103734439834,46.14107883817428,10.248962655601659,7.634854771784231
SO2,73.42342342342342,22.97297297297297,1.0135135135135136,2.59009009009009
VOC,3.841883188985121,72.24072840328671,11.910578133096454,12.006810274631729
